#  This is a file for the AB reference system.
#  
#  
#  The columns are: wavelengths, flux reference.
#  With the following units:
#      Angstroms        ,   ergs/s/cm^2/Angstrom
1.383000000000000000e+03 , 5.691183537930106660e-08
1.384000000000000000e+03 , 5.682962255452486782e-08
1.385000000000000000e+03 , 5.674758774377352675e-08
1.386000000000000000e+03 , 5.666573043348345666e-08
1.387000000000000000e+03 , 5.658405011194170548e-08
1.388000000000000000e+03 , 5.650254626927803468e-08
1.389000000000000000e+03 , 5.642121839745691882e-08
1.390000000000000000e+03 , 5.634006599026964428e-08
1.391000000000000000e+03 , 5.625908854332643452e-08
1.392000000000000000e+03 , 5.617828555404857534e-08
1.393000000000000000e+03 , 5.609765652166069891e-08
1.394000000000000000e+03 , 5.601720094718294209e-08
1.395000000000000000e+03 , 5.593691833342325039e-08
1.396000000000000000e+03 , 5.585680818496973476e-08
1.397000000000000000e+03 , 5.577687000818298217e-08
1.398000000000000000e+03 , 5.569710331118846537e-08
1.399000000000000000e+03 , 5.561750760386898578e-08
1.400000000000000000e+03 , 5.553808239785713622e-08
1.401000000000000000e+03 , 5.545882720652780334e-08
1.402000000000000000e+03 , 5.537974154499074286e-08
1.403000000000000000e+03 , 5.530082493008312168e-08
1.404000000000000000e+03 , 5.522207688036215931e-08
1.405000000000000000e+03 , 5.514349691609780898e-08
1.406000000000000000e+03 , 5.506508455926539900e-08
1.407000000000000000e+03 , 5.498683933353840656e-08
1.408000000000000000e+03 , 5.490876076428121161e-08
1.409000000000000000e+03 , 5.483084837854186396e-08
1.410000000000000000e+03 , 5.475310170504500929e-08
1.411000000000000000e+03 , 5.467552027418464962e-08
1.412000000000000000e+03 , 5.459810361801714869e-08
1.413000000000000000e+03 , 5.452085127025411158e-08
1.414000000000000000e+03 , 5.444376276625540332e-08
1.415000000000000000e+03 , 5.436683764302213439e-08
1.416000000000000000e+03 , 5.429007543918971900e-08
1.417000000000000000e+03 , 5.421347569502097976e-08
1.418000000000000000e+03 , 5.413703795239923240e-08
1.419000000000000000e+03 , 5.406076175482142351e-08
1.420000000000000000e+03 , 5.398464664739138075e-08
1.421000000000000000e+03 , 5.390869217681296376e-08
1.422000000000000000e+03 , 5.383289789138333425e-08
1.423000000000000000e+03 , 5.375726334098626576e-08
1.424000000000000000e+03 , 5.368178807708542694e-08
1.425000000000000000e+03 , 5.360647165271775089e-08
1.426000000000000000e+03 , 5.353131362248680445e-08
1.427000000000000000e+03 , 5.345631354255622373e-08
1.428000000000000000e+03 , 5.338147097064314957e-08
1.429000000000000000e+03 , 5.330678546601168954e-08
1.430000000000000000e+03 , 5.323225658946647252e-08
1.431000000000000000e+03 , 5.315788390334613053e-08
1.432000000000000000e+03 , 5.308366697151695259e-08
1.433000000000000000e+03 , 5.300960535936641949e-08
1.434000000000000000e+03 , 5.293569863379686429e-08
1.435000000000000000e+03 , 5.286194636321916583e-08
1.436000000000000000e+03 , 5.278834811754640932e-08
1.437000000000000000e+03 , 5.271490346818764600e-08
1.438000000000000000e+03 , 5.264161198804164631e-08
1.439000000000000000e+03 , 5.256847325149065963e-08
1.440000000000000000e+03 , 5.249548683439427994e-08
1.441000000000000000e+03 , 5.242265231408328493e-08
1.442000000000000000e+03 , 5.234996926935350828e-08
1.443000000000000000e+03 , 5.227743728045972510e-08
1.444000000000000000e+03 , 5.220505592910964999e-08
1.445000000000000000e+03 , 5.213282479845786214e-08
1.446000000000000000e+03 , 5.206074347309981656e-08
1.447000000000000000e+03 , 5.198881153906587520e-08
1.448000000000000000e+03 , 5.191702858381535118e-08
1.449000000000000000e+03 , 5.184539419623060607e-08
1.450000000000000000e+03 , 5.177390796661116696e-08
1.451000000000000000e+03 , 5.170256948666785020e-08
1.452000000000000000e+03 , 5.163137834951694463e-08
1.453000000000000000e+03 , 5.156033414967442132e-08
1.454000000000000000e+03 , 5.148943648305012348e-08
1.455000000000000000e+03 , 5.141868494694204236e-08
1.456000000000000000e+03 , 5.134807914003063284e-08
1.457000000000000000e+03 , 5.127761866237305629e-08
1.458000000000000000e+03 , 5.120730311539756233e-08
1.459000000000000000e+03 , 5.113713210189783092e-08
1.460000000000000000e+03 , 5.106710522602738726e-08
1.461000000000000000e+03 , 5.099722209329399017e-08
1.462000000000000000e+03 , 5.092748231055409329e-08
1.463000000000000000e+03 , 5.085788548600730631e-08
1.464000000000000000e+03 , 5.078843122919092228e-08
1.465000000000000000e+03 , 5.071911915097437228e-08
1.466000000000000000e+03 , 5.064994886355387181e-08
1.467000000000000000e+03 , 5.058091998044689531e-08
1.468000000000000000e+03 , 5.051203211648686228e-08
1.469000000000000000e+03 , 5.044328488781771104e-08
1.470000000000000000e+03 , 5.037467791188855839e-08
1.471000000000000000e+03 , 5.030621080744841232e-08
1.472000000000000000e+03 , 5.023788319454084495e-08
1.473000000000000000e+03 , 5.016969469449870518e-08
1.474000000000000000e+03 , 5.010164492993892401e-08
1.475000000000000000e+03 , 5.003373352475724704e-08
1.476000000000000000e+03 , 4.996596010412305304e-08
1.477000000000000000e+03 , 4.989832429447419232e-08
1.478000000000000000e+03 , 4.983082572351181848e-08
1.479000000000000000e+03 , 4.976346402019527981e-08
1.480000000000000000e+03 , 4.969623881473702379e-08
1.481000000000000000e+03 , 4.962914973859750832e-08
1.482000000000000000e+03 , 4.956219642448016582e-08
1.483000000000000000e+03 , 4.949537850632635414e-08
1.484000000000000000e+03 , 4.942869561931037359e-08
1.485000000000000000e+03 , 4.936214739983447742e-08
1.486000000000000000e+03 , 4.929573348552392859e-08
1.487000000000000000e+03 , 4.922945351522203002e-08
1.488000000000000000e+03 , 4.916330712898528070e-08
1.489000000000000000e+03 , 4.909729396807841915e-08
1.490000000000000000e+03 , 4.903141367496959272e-08
1.491000000000000000e+03 , 4.896566589332551362e-08
1.492000000000000000e+03 , 4.890005026800666788e-08
1.493000000000000000e+03 , 4.883456644506243830e-08
1.494000000000000000e+03 , 4.876921407172643254e-08
1.495000000000000000e+03 , 4.870399279641166560e-08
1.496000000000000000e+03 , 4.863890226870584823e-08
1.497000000000000000e+03 , 4.857394213936667526e-08
1.498000000000000000e+03 , 4.850911206031717360e-08
1.499000000000000000e+03 , 4.844441168464099055e-08
1.500000000000000000e+03 , 4.837984066657777491e-08
1.501000000000000000e+03 , 4.831539866151856452e-08
1.502000000000000000e+03 , 4.825108532600118721e-08
1.503000000000000000e+03 , 4.818690031770567490e-08
1.504000000000000000e+03 , 4.812284329544971737e-08
1.505000000000000000e+03 , 4.805891391918410951e-08
1.506000000000000000e+03 , 4.799511184998826468e-08
1.507000000000000000e+03 , 4.793143675006571482e-08
1.508000000000000000e+03 , 4.786788828273961724e-08
1.509000000000000000e+03 , 4.780446611244834738e-08
1.510000000000000000e+03 , 4.774116990474101219e-08
1.511000000000000000e+03 , 4.767799932627310909e-08
1.512000000000000000e+03 , 4.761495404480206580e-08
1.513000000000000000e+03 , 4.755203372918293902e-08
1.514000000000000000e+03 , 4.748923804936400718e-08
1.515000000000000000e+03 , 4.742656667638248238e-08
1.516000000000000000e+03 , 4.736401928236018253e-08
1.517000000000000000e+03 , 4.730159554049924991e-08
1.518000000000000000e+03 , 4.723929512507788952e-08
1.519000000000000000e+03 , 4.717711771144609418e-08
1.520000000000000000e+03 , 4.711506297602146234e-08
1.521000000000000000e+03 , 4.705313059628492323e-08
1.522000000000000000e+03 , 4.699132025077660089e-08
